2021-04-01 04:38:21,b'RT @JerotichSeii: @WehliyeMohamed The Task Force Pres Uhuru has formed is riddled with interested parties akin to the 2018 one. @HonAdenDua\xe2\x80\xa6'
2021-04-01 04:36:38,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-04-01 04:11:54,"b'RT @KaranjaMatindi: Unfortunately, the energy cartels, protected by none other than @EnergyMinK &amp; @ketercharles, have decided to unconstitu\xe2\x80\xa6'"
2021-04-01 03:10:38,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-04-01 03:06:26,b'RT @JerotichSeii: @WehliyeMohamed The Task Force Pres Uhuru has formed is riddled with interested parties akin to the 2018 one. @HonAdenDua\xe2\x80\xa6'
2021-04-01 03:00:59,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-04-01 02:53:16,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-04-01 02:37:22,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-04-01 02:18:30,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-04-01 02:16:51,"b'RT @KaranjaMatindi: Unfortunately, the energy cartels, protected by none other than @EnergyMinK &amp; @ketercharles, have decided to unconstitu\xe2\x80\xa6'"
2021-04-01 02:16:15,"b'RT @JerotichSeii: @DavidNdii @KenGenKenya is not a stranger in ""cartel"" Jerusalem. \n\nThis is another reason why they are trying hard to ""am\xe2\x80\xa6'"
2021-04-01 01:37:21,b'RT @CitizenKenya9: #SwitchOffKPLC time for the energy cartels to be drained from the swamp. @KenyaPower you are a very useless brand. @Jero\xe2\x80\xa6'
2021-04-01 01:20:18,b'RT @JerotichSeii: @WehliyeMohamed The Task Force Pres Uhuru has formed is riddled with interested parties akin to the 2018 one. @HonAdenDua\xe2\x80\xa6'
2021-04-01 01:04:53,"b""@WehliyeMohamed The Task Force Pres Uhuru has formed is riddled with interested parties akin to the 2018 one. @HonAdenDuale's questions are good. Don't expect answers from this crew. \n\n#SwitchOffKPLC"""
2021-03-31 21:54:59,"b'@BD_Africa @jerotichSeii PPAs were a blatant fraud visited upon Kenyan consumers via breach of trust and abuse of power. ""Review"" smacks of whitewashing the crimes. We demand investigations and accountability, including seizure of proceeds of crime. #SwitchOffKPLC'"
2021-03-31 21:26:27,"b'@BD_Africa Aiiie No!!!Now who is this,no man Aiie !!! No way Aiiiie, Mr President are you for real? ""To review Kenya power\'s costly purchase deals""?\nShoo,haki we are on our own. #SwitchOffKPLC @JerotichSeii help us'"
2021-03-31 18:53:01,b'#SwitchOffKPLC time for the energy cartels to be drained from the swamp. @KenyaPower you are a very useless brand. @JerotichSeii waambie tumewachoka na ushenzi yao. https://t.co/NpUfACmAsO'
2021-03-31 18:47:30,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-03-31 18:12:59,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-03-31 18:07:06,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-03-31 17:31:41,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-03-31 17:17:55,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
2021-03-31 17:08:54,"b'RT @JerotichSeii: Because my only skin in the game is Energy Justice.\n\nBar a couple, EVERY single member of the Task Force is an interested\xe2\x80\xa6'"
